epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
26;0.27818501280908864;0.906439;0.101672;0.398014;0.784242;;;-9.999881696701185e-05;0.802548;0.013231;0.414376;4628;0.031979;0.915625;0.628378;0.101772;0.986769;0.197452;0.911873;0.101797;0.435842;0.834181;;;0.00020599957370757982;0.807229;0.006812;0.2560871861136383;0.447059;817;0.025704;0.915829;0.761905;0.101591;0.993188;0.192771
27;0.2848245341237393;0.906439;0.084014;0.396205;0.781388;;;-0.017758001491546632;0.834395;0.009622;0.401691;4628;0.025497;0.91286;0.661017;0.101772;0.990378;0.165605;0.909425;0.083687;0.442919;0.824924;;;-0.01790400002336502;0.855422;0.004087;0.25910227620835113;0.46988;817;0.01836;0.911471;0.8;0.101591;0.995913;0.144578
28;0.27969660051328;0.905791;0.090834;0.400078;0.784035;;;-0.010938000783443452;0.845011;0.009141;0.410148;4628;0.023984;0.911888;0.657658;0.101772;0.990859;0.154989;0.909425;0.090499;0.44852;0.829536;;;-0.011092001238822938;0.843373;0.00545;0.25716674819388036;0.47619;817;0.020808;0.9125;0.764706;0.101591;0.99455;0.156627
29;0.2804266371657185;0.906655;0.099492;0.400251;0.78312;;;-0.0022800014467239393;0.838641;0.008901;0.404564;4628;0.024417;0.912514;0.672566;0.101772;0.991099;0.161359;0.910649;0.100338;0.450572;0.828075;;;-0.001253002921104432;0.843373;0.004087;0.25556975367366175;0.482353;817;0.019584;0.912609;0.8125;0.101591;0.995913;0.156627
30;0.278880693636635;0.906655;0.097636;0.396882;0.774533;;;-0.00413600067806244;0.842887;0.00842;0.399151;4628;0.023552;0.912149;0.678899;0.101772;0.99158;0.157113;0.909425;0.098697;0.447279;0.815075;;;-0.002894000748157502;0.855422;0.004087;0.2606544442739306;0.470588;817;0.01836;0.911471;0.8;0.101591;0.995913;0.144578
31;0.2791663170079785;0.906223;0.113719;0.402619;0.777146;;;0.011947001412391661;0.787686;0.015155;0.403397;4628;0.03522;0.916909;0.613497;0.101772;0.984845;0.212314;0.911873;0.114723;0.433106;0.812252;;;0.013131996950149535;0.795181;0.008174;0.26083378549414427;0.488095;817;0.028152;0.916877;0.73913;0.101591;0.991826;0.204819
32;0.2782478413142927;0.907087;0.086008;0.404106;0.779502;;;-0.015764002606391908;0.840764;0.008179;0.409766;4628;0.023552;0.91237;0.688073;0.101772;0.991821;0.159236;0.908201;0.086887;0.446972;0.817603;;;-0.014703998008728028;0.86747;0.004087;0.2578647630596978;0.493976;817;0.017136;0.910336;0.785714;0.101591;0.995913;0.13253
33;0.27690346276930106;0.908384;0.092239;0.406843;0.78619;;;-0.009533000096797944;0.81741;0.009382;0.409766;4628;0.02701;0.914501;0.688;0.101772;0.990618;0.18259;0.910649;0.092658;0.452362;0.827583;;;-0.008933001795768739;0.843373;0.004087;0.2550474141964933;0.481928;817;0.019584;0.912609;0.8125;0.101591;0.995913;0.156627
34;0.2826076500220812;0.907952;0.09407;0.409313;0.782809;;;-0.007701997563362123;0.81741;0.009863;0.416136;4628;0.027442;0.914463;0.677165;0.101772;0.990137;0.18259;0.909425;0.09519;0.444166;0.824004;;;-0.006400996485710145;0.855422;0.004087;0.2554647999894298;0.46988;817;0.01836;0.911471;0.8;0.101591;0.995913;0.144578
35;0.2781535340770886;0.9086;0.096466;0.414454;0.787129;;;-0.005306002602100374;0.798301;0.011306;0.418259;4628;0.030683;0.916184;0.669014;0.101772;0.988694;0.201699;0.911873;0.097556;0.452942;0.826943;;;-0.004034997561931611;0.807229;0.006812;0.25582753059840696;0.481928;817;0.025704;0.915829;0.761905;0.101591;0.993188;0.192771
