epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
71;0.28847489025050227;0.882024;0.583665;0.872886;;;0.543533;14681;0.923047;0.573913;0.942099;0.498239;0.860956;0.489547;0.829878;;;0.333526737789128;0.471396;3222;0.915128;0.485222;0.924982;0.451835
72;0.2864798954138963;0.895034;0.614753;0.881582;;;0.571644;14681;0.906955;0.728016;0.979045;0.358329;0.878647;0.511243;0.842071;;;0.2982670541397168;0.5;3222;0.902251;0.591837;0.964106;0.332569
73;0.2851578982231135;0.886248;0.586035;0.870402;;;0.541478;14681;0.920314;0.601149;0.950764;0.474082;0.863128;0.492338;0.832897;;;0.3201108870531816;0.474771;3222;0.912416;0.493404;0.931084;0.428899
74;0.28496005593138485;0.889585;0.606545;0.878436;;;0.561747;14681;0.921957;0.617308;0.95297;0.48465;0.865922;0.500376;0.833011;;;0.31660945211727376;0.485393;3222;0.914437;0.505236;0.932161;0.442661
75;0.2851108879629439;0.896192;0.62933;0.88652;;;0.584298;14681;0.910179;0.717371;0.976288;0.384499;0.880819;0.515756;0.836291;;;0.302025258319116;0.479545;3222;0.90465;0.602362;0.963747;0.350917
76;0.28669039570109783;0.896192;0.622236;0.883429;;;0.577968;14681;0.907545;0.73695;0.979754;0.362355;0.878647;0.512834;0.839482;;;0.2985975302149982;0.480726;3222;0.90198;0.592593;0.964465;0.330275
77;0.2858754070848074;0.893059;0.609561;0.881467;;;0.560362;14681;0.919647;0.646111;0.960217;0.464016;0.869646;0.508738;0.840357;;;0.3098381336646595;0.477169;3222;0.912195;0.522727;0.939698;0.422018
78;0.2842067750012868;0.88325;0.591183;0.873928;;;0.548566;14681;0.923415;0.579592;0.943202;0.500252;0.86437;0.502133;0.835137;;;0.3241545497436911;0.479452;3222;0.917823;0.498783;0.926059;0.470184
79;0.28343596531859894;0.882706;0.582473;0.869663;;;0.542441;14681;0.922715;0.577804;0.943359;0.495219;0.861266;0.491801;0.827882;;;0.33504044550831164;0.475;3222;0.917232;0.486874;0.922828;0.46789
80;0.28618185525797735;0.874804;0.570067;0.866894;;;0.532964;14681;0.925392;0.538782;0.930203;0.520886;0.851024;0.479775;0.823986;;;0.34384729247482426;0.463303;3222;0.918057;0.452586;0.90883;0.481651
81;0.2833740955014278;0.890879;0.604471;0.880897;;;0.563883;14681;0.921749;0.625735;0.954861;0.482134;0.867784;0.504377;0.833632;;;0.3181314290282077;0.468037;3222;0.914035;0.513441;0.935032;0.438073
82;0.285045204921806;0.895375;0.613367;0.879425;;;0.560141;14681;0.908479;0.72043;0.97747;0.370911;0.876785;0.504967;0.832978;;;0.3045230535553302;0.484018;3222;0.902595;0.576471;0.961235;0.337156
83;0.28073023686677245;0.879095;0.594312;0.875498;;;0.554829;14681;0.930526;0.553;0.929573;0.556618;0.847921;0.488146;0.827524;;;0.3445236794349942;0.464853;3222;0.919284;0.444215;0.903446;0.493119
