epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
45;0.2960965856285529;0.886384;0.568689;0.859082;;;0.528938;14681;0.891938;0.75935;0.135345;0.988341;0.235028;0.880199;0.522693;0.84396;;;0.29253938881082614;0.494279;3222;0.891134;0.662338;0.13532;0.981335;0.233945
46;0.29783953602665103;0.885634;0.56217;0.854904;;;0.526844;14681;0.890077;0.774021;0.135345;0.989995;0.218923;0.880819;0.511259;0.839753;;;0.29730890967381957;0.490909;3222;0.889429;0.688406;0.13532;0.984566;0.21789
47;0.29610674112743895;0.888836;0.568948;0.859307;;;0.529648;14681;0.895467;0.755396;0.135345;0.986608;0.264217;0.879268;0.517023;0.844224;;;0.2939273428465549;0.495413;3222;0.892822;0.637427;0.13532;0.977746;0.25
48;0.2950063761808097;0.88652;0.5537;0.849798;;;0.518873;14681;0.895836;0.713715;0.135345;0.983063;0.269753;0.88113;0.506415;0.833935;;;0.2990550137986906;0.481651;3222;0.896404;0.638743;0.13532;0.975233;0.279816
49;0.29464105165026655;0.887746;0.569707;0.857901;;;0.532193;14681;0.892984;0.770335;0.135345;0.988656;0.24308;0.879888;0.510166;0.838909;;;0.296213834945975;0.483945;3222;0.889828;0.668966;0.13532;0.982771;0.222477
50;0.2966631752738965;0.88795;0.563075;0.851923;;;0.522613;14681;0.895936;0.73489;0.135345;0.984796;0.26925;0.88175;0.509319;0.833715;;;0.29947007177391827;0.482838;3222;0.89595;0.648649;0.13532;0.976669;0.275229
51;0.29572443018790023;0.888087;0.564136;0.856517;;;0.523905;14681;0.897776;0.717722;0.135345;0.982433;0.285355;0.880819;0.515964;0.841689;;;0.2945729521450643;0.488532;3222;0.897419;0.63;0.13532;0.973439;0.288991
52;0.29686482140557013;0.886384;0.566111;0.854905;;;0.523905;14681;0.891159;0.771721;0.135345;0.989444;0.227982;0.878957;0.51403;0.842519;;;0.2948593323799411;0.497738;3222;0.888456;0.666667;0.13532;0.983489;0.211009
53;0.2966925267371959;0.887814;0.561802;0.855737;;;0.522636;14681;0.896262;0.729111;0.135345;0.984166;0.27227;0.879888;0.50526;0.838288;;;0.2978766458854773;0.486239;3222;0.894702;0.63388;0.13532;0.975951;0.266055
54;0.2935278802784309;0.886724;0.570568;0.857595;;;0.533971;14681;0.891865;0.767327;0.135345;0.988892;0.234021;0.880819;0.510043;0.837531;;;0.29728857901879235;0.484513;3222;0.890442;0.678082;0.13532;0.98313;0.227064
55;0.29339005903356546;0.887337;0.568065;0.860088;;;0.530448;14681;0.896495;0.719368;0.135345;0.98322;0.274786;0.878647;0.506211;0.840613;;;0.29837192012278063;0.493182;3222;0.893526;0.625698;0.13532;0.975951;0.256881
56;0.2943255055032726;0.886384;0.575869;0.86329;;;0.538693;14681;0.891382;0.768067;0.135345;0.989129;0.229995;0.880819;0.511102;0.841562;;;0.2952049108792136;0.486425;3222;0.890188;0.680556;0.13532;0.983489;0.224771
57;0.29213474958923935;0.887133;0.573773;0.860529;;;0.535714;14681;0.892134;0.771382;0.135345;0.98905;0.236034;0.880509;0.509941;0.841638;;;0.29570280995467374;0.485126;3222;0.889899;0.678322;0.13532;0.983489;0.222477
58;0.2905322113075314;0.887065;0.57478;0.863024;;;0.531958;14681;0.892796;0.759874;0.135345;0.988026;0.242073;0.880509;0.51696;0.84562;;;0.2938978246128167;0.497706;3222;0.891936;0.660377;0.13532;0.980617;0.240826
59;0.2955051711084537;0.88904;0.574732;0.862576;;;0.533971;14681;0.897878;0.73067;0.135345;0.983536;0.285355;0.88175;0.519102;0.845738;;;0.29262071644886173;0.502294;3222;0.896211;0.647059;0.13532;0.97631;0.277523
60;0.2930514644133609;0.887065;0.562036;0.858772;;;0.530448;14681;0.901894;0.672976;0.135345;0.9755;0.322094;0.88175;0.506797;0.841328;;;0.29709724710085317;0.486239;3222;0.902308;0.618026;0.13532;0.968055;0.330275
61;0.2910667562259818;0.888632;0.569949;0.859628;;;0.533468;14681;0.898638;0.717284;0.135345;0.98196;0.292401;0.878336;0.505597;0.838515;;;0.2980846570912242;0.481651;3222;0.896358;0.608911;0.13532;0.971644;0.28211
