epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
87;0.28137294703892923;0.89374;0.612333;0.87491;;;0.564889;14681;0.902298;0.753262;0.983614;0.319577;0.885785;0.545757;0.852323;;;0.28585674351949564;0.504587;3222;0.900862;0.665049;0.975233;0.31422
88;0.2790463031024425;0.892037;0.60151;0.870931;;;0.554664;14681;0.905704;0.70303;0.976839;0.350277;0.882061;0.535644;0.848482;;;0.29199259629684676;0.508009;3222;0.902072;0.621739;0.968772;0.327982
89;0.2825558152772711;0.892718;0.600294;0.869356;;;0.559134;14681;0.900916;0.753071;0.984166;0.308505;0.888268;0.543064;0.849149;;;0.28809674122341294;0.507865;3222;0.900066;0.7;0.979541;0.305046
90;0.2837717149457865;0.890403;0.600357;0.869115;;;0.556115;14681;0.893895;0.809836;0.990862;0.248616;0.884854;0.543452;0.85015;;;0.2870076450060829;0.518349;3222;0.891156;0.740741;0.987437;0.229358
91;0.2786273803517139;0.893604;0.599109;0.870643;;;0.554326;14681;0.907885;0.705314;0.975973;0.367388;0.882061;0.531374;0.849035;;;0.2910926316735872;0.506849;3222;0.904778;0.612;0.965183;0.350917
92;0.2813055486372061;0.894149;0.607941;0.872051;;;0.557625;14681;0.909138;0.702905;0.975028;0.377453;0.883923;0.541893;0.84795;;;0.29099838887956997;0.502294;3222;0.907157;0.619231;0.964465;0.369266
93;0.27935842141599393;0.892037;0.59129;0.86541;;;0.546781;14681;0.909775;0.678508;0.971483;0.384499;0.883613;0.536131;0.847116;;;0.2940431436874125;0.504587;3222;0.908506;0.612546;0.962312;0.380734
94;0.2809108324418327;0.893195;0.599702;0.868945;;;0.560141;14681;0.900908;0.760248;0.984796;0.308002;0.887337;0.547615;0.850341;;;0.2871279609380932;0.513761;3222;0.899176;0.695187;0.979541;0.298165
95;0.2805452544756493;0.895443;0.61906;0.877768;;;0.574447;14681;0.902765;0.772947;0.98519;0.322094;0.886406;0.541294;0.848943;;;0.2877659110813722;0.509174;3222;0.89934;0.682292;0.978105;0.300459
96;0.2775331432330057;0.89483;0.610679;0.874444;;;0.565108;14681;0.905809;0.734889;0.980306;0.348767;0.883613;0.539281;0.846679;;;0.29108722932511866;0.509174;3222;0.901967;0.636771;0.970926;0.325688
97;0.28098621362536447;0.894966;0.607108;0.870557;;;0.562154;14681;0.910422;0.703196;0.974397;0.387519;0.884544;0.538414;0.845869;;;0.2941899746170812;0.517162;3222;0.908322;0.620301;0.963747;0.37844
98;0.2798411510646555;0.894217;0.605134;0.871613;;;0.560865;14681;0.904157;0.741648;0.981724;0.335179;0.884854;0.53583;0.845506;;;0.29176683828678657;0.511468;3222;0.900763;0.655502;0.974156;0.31422
99;0.2768024537973951;0.893945;0.605168;0.874068;;;0.561651;14681;0.910626;0.691964;0.972822;0.390035;0.880819;0.529743;0.848515;;;0.2946751968106133;0.506881;3222;0.907395;0.594891;0.960158;0.373853
