epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
21;0.31485110365692215;0.88229686;0.5072215127654283;0.8265206432008148;0.4992548435171386;14681;0.8936109;0.6724368;0.98062074;0.254152;0.8792675;0.49677256340502063;0.8161984562392567;0.3078398995244821;0.4931506849315068;3222;0.8930797;0.63583815;0.97738695;0.2522936
22;0.3151625378215827;0.8825693;0.5040506639736401;0.8227363953614042;0.49622546552591845;14681;0.89821404;0.6449835;0.9746337;0.2944137;0.8792675;0.489819379206859;0.8108530858749843;0.31097360698981436;0.4874715261958998;3222;0.89830506;0.6103286;0.97020817;0.29816514
23;0.3117412875686393;0.88243306;0.5089394478066867;0.8259031110442234;0.49974836436839454;14681;0.89976674;0.635514;0.97234917;0.30800202;0.87802607;0.49234758076570856;0.8132174634641095;0.3161096110255507;0.48853211009174313;3222;0.90056914;0.5914894;0.965542;0.31880733
24;0.31464739223449506;0.8799128;0.5091014207252005;0.8289383791239876;0.5067941620533467;14681;0.8865549;0.7066421;0.9874744;0.1927529;0.88112974;0.49453484440735096;0.8158312861818924;0.31278433201662287;0.48853211009174313;3222;0.8877057;0.7154471;0.9874372;0.20183486
25;0.31349041372462505;0.8803215;0.5103025460060857;0.8292088864368038;0.5052737317930688;14681;0.888581;0.68914473;0.98511106;0.21087065;0.8823712;0.4979093479404104;0.8173962868075634;0.3092387480572245;0.482837528604119;3222;0.8908737;0.6993007;0.9845657;0.2293578
26;0.31400696337669654;0.8816838;0.5063354828791253;0.8241575994714025;0.5005030181086519;14681;0.892246;0.67507005;0.98172367;0.24257675;0.8808194;0.49337832964589656;0.8107921652825069;0.31124569188449636;0.4874715261958998;3222;0.8937705;0.6511628;0.97846377;0.25688073
27;0.31572672444343763;0.88413596;0.51639469736973;0.8287045645442818;0.5108203321590338;14681;0.89705986;0.6706444;0.9782574;0.28283846;0.8798883;0.4978940933195669;0.8149170656691057;0.30716487843009127;0.4874141876430206;3222;0.89705396;0.62189054;0.97272074;0.28669724
28;0.3106221909608189;0.88284177;0.5186916140102937;0.83461007260919;0.5050301810865191;14681;0.8983014;0.6475138;0.97487;0.29491696;0.8820608;0.4958799911582648;0.8210317643262182;0.30529192917876774;0.4931506849315068;3222;0.8986083;0.6372549;0.9734386;0.29816514
29;0.31208187259272363;0.88222873;0.5202201579422178;0.8330413839317466;0.5150602409638554;14681;0.88907814;0.7186441;0.986923;0.21338701;0.88112974;0.5000030942753241;0.8188139254595389;0.3097605917170357;0.48337028824833705;3222;0.8902241;0.6853147;0.9838478;0.22477064
30;0.3106315139165102;0.8816838;0.514881127949144;0.8302399502548827;0.5077928607340372;14681;0.89314675;0.66756034;0.9804632;0.2506291;0.88112974;0.495203038608741;0.814116453828777;0.31302460925890596;0.4908256880733945;3222;0.89354736;0.65680474;0.97918165;0.25458714
31;0.31228382627139517;0.8816838;0.5204359289591911;0.8334417926384426;0.5105633802816901;14681;0.8899011;0.6984127;0.9850323;0.22143936;0.8820608;0.4974192751149842;0.8175444720325085;0.3075333568322444;0.47706422018348627;3222;0.89211214;0.6818182;0.98241204;0.24082568
32;0.31017390731512773;0.88372725;0.5208667292782274;0.8345107385813048;0.5108203321590338;14681;0.89564276;0.6758794;0.9796754;0.27075994;0.88268155;0.4967014093629297;0.8171978832563868;0.30814469930808935;0.4794520547945205;3222;0.89631337;0.6576087;0.97738695;0.27752292
33;0.30983186795430606;0.88079834;0.5218319692009018;0.8324201448377746;0.5135814889336016;14681;0.8857324;0.73939395;0.9898377;0.18419728;0.88175046;0.5019882266823601;0.8158024723881531;0.31024322156984563;0.48291571753986334;3222;0.8867803;0.74336284;0.9895908;0.19266056
34;0.3121232184042305;0.88229686;0.5190269850667676;0.8329439925769272;0.5113236034222446;14681;0.89169884;0.6896047;0.9832992;0.23704076;0.880509;0.4943782532045567;0.8162313862892445;0.31063835789963445;0.47706422018348627;3222;0.8911698;0.6666667;0.98169416;0.23394495
35;0.31173695454065775;0.8805258;0.5249774756149569;0.8380481480021907;0.5145875251509054;14681;0.8852113;0.7422037;0.99023163;0.17966785;0.88175046;0.5026373690122384;0.8253373683621252;0.30503942174599974;0.48853211009174313;3222;0.88653165;0.7477477;0.98994976;0.19036697
36;0.3115613503617216;0.8836591;0.523642271290614;0.8368278717921412;0.5090361445783133;14681;0.89557827;0.6754717;0.9796754;0.27025667;0.8823712;0.4974628184996853;0.8182598773684937;0.3095091880061551;0.48423423423423423;3222;0.8968018;0.6507937;0.97631013;0.2821101
37;0.3094445732132582;0.88413596;0.5289952550376622;0.8415172665178552;0.5150905432595574;14681;0.8956879;0.68101263;0.9801481;0.27075994;0.8814401;0.49778047743192155;0.8214318644335702;0.31000972036468843;0.4764044943820225;3222;0.89358217;0.66071427;0.9795406;0.25458714
38;0.30934803028886027;0.88359106;0.5308321893690433;0.8412460257468409;0.5120724346076458;14681;0.89134306;0.71517026;0.985505;0.23251133;0.8845438;0.5028941359140362;0.8205534553501451;0.3055526498291228;0.48299319727891155;3222;0.89213777;0.7222222;0.9856425;0.23853211
39;0.3104528668550037;0.88045776;0.5257289244540315;0.8355587512307231;0.5128334172118773;14681;0.8856921;0.732;0.98944384;0.18419728;0.8808194;0.4978050383509413;0.8162198607717486;0.31550393229053303;0.4805491990846682;3222;0.88716954;0.71666664;0.9877961;0.19724771
